car_model_id,car_model
1,acura mdx
2,acura zdx
3,acura rdx
4,audi q5
5,audi a6
6,audi a4
7,audi q7
8,audi a5
9,audi a8
10,audi 80
11,audi a1
12,audi a3
13,audi a7
14,audi q3
15,audi Q8
16,audi tt
17,bmw 3 series
18,bmw 5 series
19,bmw 7 series
20,bmw x5
21,bmw x6
22,bmw x3
23,bmw 1 series
24,bmw 2 series
25,bmw 4 series
26,bmw 6 series
27,bmw i8
28,bmw m6
29,bmw x1
30,bmw x2
31,bmw x4
32,bmw x7
33,bmw z4
34,bmw khac
35,chevrolet spark
36,chevrolet cruze
37,chevrolet captiva
38,chevrolet colorado
39,chevrolet aveo
40,chevrolet orlando
41,chevrolet trailblazer
42,chevrolet lacetti
43,chevrolet vivant
44,chevrolet trax
45,chevrolet camaro
46,chevrolet corvette
47,chevrolet express
48,chevrolet lumina
49,chevrolet khac
50,daewoo lacetti
51,daewoo matiz
52,daewoo gentra
53,daewoo lanos
54,daewoo nubira
55,daewoo magnus
56,daewoo cielo
57,daewoo leganza
58,daewoo espero
59,daewoo chairman
60,daewoo damas
61,daewoo gentrax
62,daewoo labo
63,daewoo novus
64,daewoo racer
65,daewoo super saloon
66,daewoo khac
67,daihatsu applause
68,daihatsu charade
69,daihatsu citivan
70,daihatsu compagno
71,daihatsu fellow max
72,daihatsu feroza
73,daihatsu hijet
74,daihatsu terios
75,fiat siena
76,fiat albea
77,fiat doblo
78,fiat 500
79,fiat bravo
80,fiat tempra
81,ford ranger
82,ford everest
83,ford transit
84,ford ecosport
85,ford focus
86,ford escape
87,ford explorer
88,ford fiesta
89,ford laser
90,ford mondeo
91,ford tourneo
92,ford f150
93,ford bronco
94,ford crown victoria
95,ford e450
96,ford f450
97,ford flex
98,ford imax
99,ford mustang
100,ford taurus
101,ford tempo
102,ford windstar
103,ford khac
104,honda city
105,honda crv
106,honda civic
107,honda accord
108,honda jazz
109,honda brio
110,honda hrv
111,honda odyssey
112,honda legend
113,honda khac
114,hyundai i10
115,hyundai santafe
116,hyundai accent
117,hyundai elantra
118,hyundai tucson
119,hyundai getz
120,hyundai kona
121,hyundai porter
122,hyundai county
123,hyundai grand starex
124,hyundai avante
125,hyundai sonata
126,hyundai azera
127,hyundai click
128,hyundai creta
129,hyundai emighty
130,hyundai equus
131,hyundai excel
132,hyundai galloper
133,hyundai genesis
134,hyundai grandeur
135,hyundai h 1
136,hyundai h 100
