car_model_id,car_type_id,color_id,poster_id,condition_id,km,door_num,seat_num,car_year,price_num,price_words,area
1,1,1,1,1,0,5,7,2007,630000000,630 Triệu,TP HCM
1,1,2,15376,1,0,5,7,2007,580000000,580 Triệu,Hà Nội
1,1,2,3,1,0,5,7,2006,465000000,465 Triệu,TP HCM
1,1,1,4,2,0,5,7,2016,4000000000,4 Tỷ 665 Triệu,TP HCM
1,1,3,5,1,9600,5,7,2015,3000000000,3 Tỷ 400 Triệu,TP HCM
1,1,3,5,1,9700,5,7,2015,3000000000,3 Tỷ 450 Triệu,TP HCM
1,1,1,2860,1,86000,5,7,2008,620000000,620 Triệu,Bình Dương
1,1,4,8638,1,0,5,7,2004,290000000,290 Triệu,Hải Dương
1,1,1,8,1,80000,5,7,2007,555000000,555 Triệu,Hà Nội
1,1,5,9,1,150000,5,7,2008,639000000,639 Triệu,Hà Nội
1,1,1,10,1,80000,5,7,2007,555000000,555 Triệu,Hà Nội
1,1,1,14616,1,15000,5,7,2008,690000000,690 Triệu,Hà Nội
1,1,6,12,1,83000,5,7,2006,550000000,550 Triệu,TP HCM
1,1,1,13,1,100000,5,7,2008,666000000,666 Triệu,Hà Nội
1,1,1,14,1,0,5,7,2008,590000000,590 Triệu,TP HCM
2,2,2,15,1,0,5,5,2010,1000000000,1 Tỷ 150 Triệu,Hà Nội
2,2,3,16,1,60000,5,5,2009,1000000000,1 Tỷ 250 Triệu,TP HCM
2,2,7,17,1,0,5,5,2009,1000000000,1 Tỷ 250 Triệu,TP HCM
2,2,3,18,1,0,5,5,2010,1000000000,1 Tỷ 180 Triệu,TP HCM
3,2,7,19,1,11000,5,5,2008,468000000,468 Triệu,Ninh Bình
4,1,1,20,1,80000,5,5,2011,750000000,750 Triệu,Hà Nội
4,1,1,15635,1,40000,5,5,2017,1000000000,1 Tỷ 890 Triệu,Hà Nội
4,1,7,22,1,53000,5,5,2016,1000000000,1 Tỷ 355 Triệu,Bình Dương
4,1,3,23,1,24000,5,5,2017,1000000000,1 Tỷ 990 Triệu,Hà Nội
4,1,3,6631,1,47000,5,5,2016,1000000000,1 Tỷ 659 Triệu,Hà Nội
4,1,1,1,1,0,5,5,2011,980000000,980 Triệu,TP HCM
4,1,1,25,1,15000,5,5,2017,1000000000,1 Tỷ 860 Triệu,Hà Nội
4,1,1,3980,1,45000,5,5,2017,1000000000,1 Tỷ 860 Triệu,Hà Nội
4,1,1,27,1,60000,5,5,2014,1000000000,1 Tỷ 180 Triệu,Hà Nội
4,1,3,28,1,32000,5,5,2012,960000000,960 Triệu,TP HCM
4,1,4,29,1,100000,5,5,2010,680000000,680 Triệu,Hà Nội
4,1,3,6022,1,59600,5,5,2013,1000000000,1 Tỷ 30 Triệu,TP HCM
4,1,3,31,1,60000,5,5,2012,890000000,890 Triệu,Hà Nội
4,1,1,32,1,89000,5,5,2011,750000000,750 Triệu,Hà Nội
4,1,3,33,1,80000,5,5,2012,720000000,720 Triệu,Quảng Ninh
4,1,1,6631,1,68000,5,5,2013,1000000000,1 Tỷ 250 Triệu,Hà Nội
4,1,7,6631,1,70000,5,5,2014,1000000000,1 Tỷ 339 Triệu,Hà Nội
4,1,3,46,1,49000,5,5,2014,1000000000,1 Tỷ 259 Triệu,Hà Nội
4,1,3,35,1,35000,4,5,2012,890000000,890 Triệu,Hà Nội
4,1,3,36,1,30000,5,5,2017,1000000000,1 Tỷ 990 Triệu,Hà Nội
4,1,1,14667,1,35000,5,5,2014,1000000000,1 Tỷ 180 Triệu,Hà Nội
4,1,4,38,1,0,5,5,2011,700000000,700 Triệu,Hà Nội
4,1,4,38,1,80000,5,5,2011,695000000,695 Triệu,Hà Nội
4,1,1,14319,1,75546,5,5,2011,680000000,680 Triệu,TP HCM
4,1,7,40,1,80000,5,5,2013,935000000,935 Triệu,Hải Phòng
4,1,3,15809,1,6,5,5,2012,860000000,860 Triệu,Hà Nội
4,1,1,6021,1,10000,5,5,2011,650000000,650 Triệu,Hà Nội
4,1,7,43,1,99900,5,5,2012,930000000,930 Triệu,TP HCM
4,1,1,44,1,52000,5,5,2016,1000000000,1 Tỷ 789 Triệu,TP HCM
4,1,1,9744,1,25000,5,5,2017,1000000000,1 Tỷ 899 Triệu,Hà Nội
4,1,1,46,1,61000,5,5,2012,935000000,935 Triệu,Hà Nội
4,1,1,47,1,113250,5,5,2010,600000000,600 Triệu,Nghệ An
